timestamp,uptime_min,interval_s,rtcm_frame_rate_fps,valid_frames_interval,parsed_frames_interval,bad_crc_interval,crc_error_percent_interval,message_types_interval,serial_input_Bps,client_output_Bps,client_count,peak_client_count,total_valid_frames,total_bad_crc,total_client_bytes,station,svin
2026-07-08 10:02:23,15.126,1.192,8.390,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3044.8,1236.7,1,1,8732,40,641278,RTCM1005 age=0.6s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.6s
2026-07-08 10:02:24,15.143,1.012,9.884,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3587.0,1456.9,1,1,8742,40,642752,RTCM1005 age=0.6s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.6s
2026-07-08 10:02:26,15.161,1.104,14.490,16,16,0,0.000,"1005:1, 1074:2, 1077:2, 1084:2, 1087:2, 1094:2, 1097:2, 1124:1, 1127:1, 1230:1",4177.5,2159.9,1,1,8758,40,645137,RTCM1005 age=0.7s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.7s
2026-07-08 10:02:27,15.178,1.006,9.941,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3567.9,1465.3,1,1,8768,40,646611,RTCM1005 age=0.7s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.7s
2026-07-08 10:02:28,15.196,1.084,11.992,13,13,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:2, 1127:2, 1230:2",4292.2,1782.2,1,1,8781,40,648543,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:02:29,15.216,1.194,9.214,11,11,0,0.000,"1005:2, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",4360.7,1255.6,1,1,8792,40,650042,RTCM1005 age=0.0s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.0s
2026-07-08 10:02:30,15.233,1.023,9.780,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3547.2,1441.6,1,1,8802,40,651516,RTCM1005 age=0.0s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.0s
2026-07-08 10:02:31,15.253,1.176,8.502,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3016.5,1186.0,1,1,8812,40,652911,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
2026-07-08 10:02:32,15.270,1.008,9.917,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3531.5,1383.4,1,1,8822,40,654306,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
2026-07-08 10:02:33,15.289,1.195,8.371,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2981.0,1167.8,1,1,8832,40,655701,RTCM1005 age=0.4s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.4s
2026-07-08 10:02:34,15.306,1.010,9.903,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3526.5,1381.5,1,1,8842,40,657096,RTCM1005 age=0.4s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.4s
2026-07-08 10:02:35,15.323,1.005,9.951,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3582.2,1426.9,1,1,8852,40,658530,RTCM1005 age=0.4s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.4s
2026-07-08 10:02:36,15.343,1.198,8.349,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3012.4,1197.3,1,1,8862,40,659964,RTCM1005 age=0.6s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.6s
2026-07-08 10:02:38,15.361,1.108,14.441,16,16,0,0.000,"1005:1, 1074:2, 1077:2, 1084:2, 1087:2, 1094:2, 1097:2, 1124:1, 1127:1, 1230:1",4144.5,2116.5,1,1,8878,40,662309,RTCM1005 age=0.7s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.7s
2026-07-08 10:02:39,15.379,1.079,12.047,13,13,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:2, 1127:2, 1230:2",4248.1,1716.3,1,1,8891,40,664161,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:02:40,15.396,1.009,9.914,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3571.2,1421.7,1,1,8901,40,665595,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:02:41,15.416,1.165,9.440,11,11,0,0.000,"1005:2, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",4491.8,1320.8,1,1,8912,40,667134,RTCM1005 age=0.0s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.0s
2026-07-08 10:02:42,15.436,1.200,8.332,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3066.1,1261.4,1,1,8922,40,668648,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
